Ref Link	Seq	Page Type	Section	Keyword	Idea?	Title	Message	lastmod	changefreq	priority
terms-of-engagement	51		Initiation	Terms of Engagement	Yes	Agree on Terms of Engagement		2016-09-05	monthly	1.0
proxy	51.5		Initiation	Customer Proxy	Yes	Pick the Right Sort of Customer Proxy		2016-09-05	monthly	1.0
vision	52		Initiation	Product Vision	Yes	Craft a Product Vision		2016-09-05	monthly	1.0
quality	53		Initiation	Quality	Yes	Quality Requires Extra Effort		2016-09-05	monthly	1.0
plan	54		Initiation	Change	Yes	Plan Thoughtfully But Be Prepared for Change		2016-09-05	monthly	1.0
tailor	55		Initiation	Tailoring	Yes	Tailor Thoughtfully		2016-09-05	monthly	1.0
tools	56		Initiation	Tools	Yes	Sharpen Your Axe		2016-09-05	monthly	1.0
estimating	57		Initiation	Estimating	Yes	"When Estimating, the Whole is Definitely Greater than the Sum of its Parts"		2016-09-05	monthly	1.0
understand-customer	58		Initiation	Customer	Yes	Seek First to Understand Your Customer		2016-09-05	monthly	1.0
jeduf	59		Initiation	Design	Yes	Just Enough Design Up Front		2016-09-05	monthly	1.0
deliver	60		Initiation	Deliver	Yes	Deliver Early and Often		2016-09-05	monthly	1.0
	70	index	Execution			Execution		2016-09-05	monthly	0.1
self-organizing	71		Execution	Team Organization	Yes	Self-Organizing Teams		2016-09-05	monthly	1.0
decisions	72		Execution	Decisions	Yes	A Deliberate Approach to Decision-Making		2016-09-05	monthly	1.0
flow	73		Execution	Friction and Flow	Yes	"Decrease Friction, Increase Flow"		2016-09-05	monthly	1.0
cm	74		Execution	Configuration Management	Yes	Configuration Management		2016-09-05	monthly	1.0
wip	75		Execution	WIP	Yes	Limit Work in Progress		2016-09-05	monthly	1.0
problems	76		Execution	Problems	Yes	Make Problems Visible		2016-09-05	monthly	1.0
learning	77		Execution	Learning	Yes	Remain Open to Fresh Learning		2016-09-05	monthly	1.0
integration	78		Execution	Integration	Yes	Don't Wait to Integrate		2016-09-05	monthly	1.0
	80	index	Caution			Caution		2016-09-05	monthly	0.1
different	81		Caution	Software	Yes	Software is Different		2016-09-05	monthly	1.0
craft	83		Caution	Craftsmanship	Yes	Software Development is a Craft		2016-09-05	monthly	1.0
docs	84		Caution	Documentation	Yes	Documentation Is Not an End Unto Itself		2016-09-05	monthly	1.0
pm	85		Caution	Project and Program Management	Yes	Do Not Place Excessive Faith in Project and Program Management		2016-09-05	monthly	1.0
buyer	86		Caution	Suppliers	Yes	Let the Buyer Beware		2016-09-05	monthly	1.0
focus	88		Caution	Working Software	Yes	Stay Focused on the Creation of Working Software for Real People		2016-09-05	monthly	1.0
	90	index	Reference			Reference		2016-09-05	monthly	0.1
author	91		Reference	Author		About the Author		2016-09-05	yearly	1.0
copyrights	92		Reference			Copyrights		2016-09-05	monthly	0.2
versions	93		Reference			Version History		2016-09-05	monthly	0.1
glossary	94		Reference			Glossary		2016-09-05	monthly	1.0
biblio	95		Reference			Bibliography		2016-09-05	monthly	0.3
colophon	96		Reference			Colophon		2016-09-05	monthly	0.1
all-ideas	97		Reference			Alphabetical List of All Ideas		2016-09-05	monthly	0.1
index	98		Reference			Alphabetical Index		2016-09-05	monthly	0.5
search	100		Search	Search		Search		2016-12-30	yearly	0.1
